track_name,track_artist,language,playlist_genre,playlist_subgenre,genre_encoded,language_encoded,beta_vae_kmeans_cluster,autoencoder_kmeans_cluster,pca_kmeans_cluster,umap_1,umap_2
Shai Pakhitar,Alka Yagnik,bn,Bangla Film,Romantic Playback,1,0,2,11,2,5.665501,9.4707985
Deko Naa Aamarey,Indrani Sen,bn,Rabindra Sangeet,Tagore Classic,7,0,0,9,12,-1.5144727,5.681965
O Amar Pran Sajani (Champabothi Kanya),Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,9,4,0,0.44796458,9.14773
Phote Je Rakta Golap,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,3,11,12,-2.7417068,3.6515858
Bhulo Na Pratham Se Din,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,8,4,7,-1.837992,5.8988733
Jadi Akash Hoto Ankhi,Aarti Mukherji,bn,Bangla Film,Romantic Playback,1,0,9,0,5,0.8851812,8.9121065
Tung Tung Tung,C.L.T.,bn,Adhunik Bangla,Romantic Modern,0,0,3,8,3,-3.1502838,3.7488813
Habuchandra Raja,Antara Chwdhury,bn,Children's Music,Fantasy Song,4,0,0,7,9,-0.8548754,5.6092033
E Mon Amar Hariye Jay,Asha Bhosle,bn,Bangla Film,Melancholy Playback,1,0,0,8,3,-0.29707673,5.844026
Rangiye Diye Jao,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,3,0,12,-2.4381356,3.7624493
Tomar Kaache Jabo,Alka Yagnik,bn,Bangla Film,Romantic Playback,1,0,11,11,2,3.5660217,9.128336
Sei Raate Raat Chhilo Purnima,Kishore Kumar,bn,Adhunik Bangla,Romantic Modern,0,0,12,2,2,8.089131,9.536377
Jafrani Rang Akashe,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,9,2,10,1.6635089,8.654209
Tomar Pujar Chhaley,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Devotional,7,0,13,12,5,-1.4172404,5.2626657
Shyam Roop Dhariya,S. D. Burman,bn,Adhunik Bangla,Romantic Modern,0,0,9,2,10,0.68933433,8.069656
O Jhar Jhar Jharna,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,5,2,2,5.73414,8.606091
"Madhur, Tomar Shesh Jey Na Pai",Indrani Sen,bn,Rabindra Sangeet,Tagore Classic,7,0,13,0,12,-2.703801,4.5616884
Kar Milano Chao Birahi,Indrani Sen,bn,Rabindra Sangeet,Tagore Classic,7,0,9,11,10,0.67784387,9.226095
Pran Chay Chokkhu Na Chay,Sagar Sen,bn,Rabindra Sangeet,Tagore Classic,7,0,8,4,3,-1.3237668,6.002599
Amar Ga Chhamchham Kare,Asha Bhosle|Bappi Lahiri,bn,Bangla Film,Duet Playback,1,0,9,4,0,-0.002376351,8.839782
Esse Chhile Tobu,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Classic,7,0,13,8,3,-2.6142888,5.6174946
Ore Mon Pakhi,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,0,9,3,-0.2654802,5.652047
Bare Bare Ke Jeno Dake,Manabendra Mukherjee,bn,Adhunik Bangla,Romantic Modern,0,0,0,12,0,-0.19100653,6.1436906
Beshi Ki Boli Jakhon Boli,Bappi Lahiri|Asha Bhosle,bn,Bangla Film,Duet Playback,1,0,2,7,9,5.7524934,9.545604
Chalo Chole Jai Haate Haat Rekhe,Asha Bhosle|R. D. Burman,bn,Bangla Film,Duet Playback,1,0,0,9,12,-0.88370776,6.668685
Bandha Moner Duar Diyechhi,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,8,4,7,-1.1421286,7.49263
Haowa Megh Saraye Phul Jharaye,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,6,8,5,0.37826937,6.836847
Khukumani Go Sonaa,Antara Chwdhury|Sabita Chowdhury,bn,Children's Music,Children's Song,4,0,11,2,10,4.1595135,8.505571
Diner Shese Ghumer Deshe,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,6,7,9,1.6232622,7.979467
Tari Amar Hathat Dubey Jai,Indrani Sen,bn,Rabindra Sangeet,Tagore Classic,7,0,8,12,5,-2.0978875,6.5588055
Ami Tomay Jato Shuniyechhilem Gaan,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,0,9,12,-0.0062598293,5.817253
Tomar Dake Sara Dite,Aarti Mukherji,bn,Bangla Film,Romantic Playback,1,0,6,12,5,0.8600187,7.8198895
Ki Je Bhabi Elomelo,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,8,0,5,-2.1927867,6.2545233
Ekta Gaan Likho Amar Janyo,Pratima Banerjee,bn,Adhunik Bangla,Romantic Modern,0,0,8,8,7,-1.7491763,7.155734
Ei Agune Haat Rakho,Nachiketa Chakraborty,bn,Adhunik Bangla,Romantic Modern,0,0,13,7,9,-1.7241725,5.637016
Ami To Tomar Chirodiner Hnasi Kannar Sathi,Nirmal Mishra,bn,Adhunik Bangla,Romantic Modern,0,0,8,4,0,-1.5788802,7.6621866
Dekte Dekte Din Chole,Mahendra Kapoor,bn,Bangla Film,Romantic Playback,1,0,3,11,3,-3.1467543,4.2577834
Amio Pather Mato,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,8,4,7,-0.8538807,7.5952897
Dure Dure Kachhe Kachhe,Aarti Mukherji,bn,Bangla Film,Melancholy Playback,1,0,9,12,7,0.80875325,8.726749
Lakshmiti Dohai Tomar,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,3,8,3,-3.209252,3.3969266
Ekhono Sarengita Bajchhe,Haimanti Shukla,bn,Adhunik Bangla,Romantic Modern,0,0,8,4,3,-2.6843164,6.135508
Angur Angur Chokh,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,0,9,12,-0.8799943,6.7284164
Je Jon Premer Bhav Jane Na,Runa Laila,bn,Adhunik Bangla,Romantic Modern,0,0,0,12,5,0.16687801,6.562185
O Duti Ankhi Jeno,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,8,11,10,-1.4622346,7.2454543
Tumi Nirmal Karo Mangal Kare,Panna Lal Bhattacharjee,bn,Devotional,Spiritual,5,0,13,9,12,-2.8398557,4.3251257
Nabo Anande Jago Aaji,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,9,4,7,0.9990265,8.855027
Kaharba Noy Dadra Bajao,Manna Dey,bn,Bangla Film,Romantic Playback,1,0,9,4,7,0.32403606,8.803511
Amay Prashna Kare Neel Dhrubatara,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,0,9,12,-1.0877982,5.525156
Banya Banya E Aranya,Aarti Mukherji,bn,Bangla Film,Romantic Playback,1,0,11,9,7,3.7802734,8.613063
Ki Gabo Ami Ki Shunabo,Aarti Mukherji,bn,Bangla Film,Romantic Playback,1,0,3,8,3,-3.1146922,4.089519
Praaney Gaan Naai,Indrani Sen,bn,Rabindra Sangeet,Tagore Classic,7,0,6,9,7,1.000134,7.906614
Dak Pathale Kaal Sakale,Asha Bhosle|R. D. Burman,bn,Bangla Film,Duet Playback,1,0,6,2,7,1.5542803,8.216201
Tumi Esechhile Porshu,S. D. Burman,bn,Adhunik Bangla,Romantic Modern,0,0,9,2,10,1.5184216,8.778906
Jani Na Se Kon Sudur Pare,Haimanti Shukla,bn,Adhunik Bangla,Romantic Modern,0,0,9,2,0,0.29621008,8.958856
Dil Dariyar Majhete,Purna Das Baul,bn,Bangla Folk,Baul,2,0,0,9,7,-0.94158727,6.690043
Jani Nai Go Sadhan,Debabrata Biswas|Others,bn,Rabindra Sangeet,Tagore Classic,7,0,0,12,5,0.0441968,6.8634872
Ei Je Nadi Jay Sagare,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,13,0,12,-2.747791,5.495173
Kar Manjir Baje Rini,Shyamal Mitra,bn,Adhunik Bangla,Romantic Modern,0,0,9,2,0,0.2517804,8.845646
Khonpar Ei Golap Diye,Sivaji Chatterjee,bn,Adhunik Bangla,Romantic Modern,0,0,6,11,12,1.6845021,7.295266
Tumi Jey Surer Aagun,Indrani Sen,bn,Rabindra Sangeet,Tagore Classic,7,0,6,8,7,2.161474,8.070487
Bharat Amar Bharat Barsha,Manna Dey,bn,Bangla Film,Romantic Playback,1,0,13,0,12,-2.7686944,5.3280425
Din Jaye Raat Jaye,Anuradha Paudwal,bn,Devotional,Bhajan,5,0,13,11,12,-2.8020563,4.3349886
Bahudiner Agete Godhulir Belate,Bhupen Hazarika,bn,Adhunik Bangla,Romantic Modern,0,0,8,4,12,-0.92861515,7.2932415
Amar Sesh Paraner Kodi,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Romantic,7,0,8,4,7,-2.311821,6.639204
Aaj Mon Cheyechhe,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,13,8,3,-1.8633509,5.162056
Ei Je Heri Go Debi Amari,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,0,12,3,-1.0060307,5.326684
Jiya Manat Na - Thumree,Mahendra Kapoor,bn,Bangla Film,Romantic Playback,1,0,0,7,9,0.76548564,6.3796663
Akaraney Akaley Mor,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Classic,7,0,8,11,10,-1.5297668,7.201383
Se To Elo Na,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,9,2,10,-0.07580454,8.74669
Ei Sundar Swarnali Sandhaye,Geeta Dutt,bn,Bangla Film,Romantic Playback,1,0,6,4,7,0.91464823,7.459746
Payal Baje Chham Chham Chham - Thumree,Mahendra Kapoor,bn,Bangla Film,Romantic Playback,1,0,6,7,9,1.019638,7.3681173
Chinechhi Chinechhi Tomar E Mon,Aarti Mukherji,bn,Bangla Film,Romantic Playback,1,0,13,8,3,-2.740158,5.99063
Bhalobashar Moto Bhalo Kauke,Udit Narayan,bn,Bangla Film,Romantic Playback,1,0,0,7,9,0.4408107,6.187754
Swapney Aamaar Mone Holo,Indrani Sen,bn,Rabindra Sangeet,Tagore Classic,7,0,8,8,5,-1.086021,7.4819937
Ei Edike Eso Esona,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,8,11,10,-1.5439501,6.322255
Milan Hobe Katodine,Farida Parveen,bn,Bangla Folk,Lalon,2,0,0,0,5,-0.7483239,5.4170947
Baani Tabo Dhai,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Classic,7,0,11,11,5,3.3119326,8.255197
Na Na Kache Eso Na,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,11,12,0,2.850696,8.913271
Tomar Bhubane Phuler Mela,Akhil Bandhu Ghosh,bn,Adhunik Bangla,Romantic Modern,0,0,3,8,3,-3.4485078,3.8579316
Bojho Na Keno Je,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,11,9,7,2.605242,8.455731
Oi Padma Chokher Neel Jamunay,Shyamal Mitra,bn,Adhunik Bangla,Romantic Modern,0,0,9,4,7,0.33133075,8.354151
Kon Bhiruke Bhoy Dekhabi,Suchitra Mitra,bn,Rabindra Sangeet,Tagore Classic,7,0,8,11,10,-1.6501334,6.825619
Pather Shes Kothay,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,13,4,3,-2.4251423,5.6921315
Jodi Jante Chao Tumi,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,6,9,7,1.1037802,7.5281343
O Mago Ma,Antara Chwdhury,bn,Children's Music,Comic Song,4,0,8,12,0,-1.6552056,7.410323
Tomari Jharnatalar Nirjane,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,0,11,10,-0.24372537,7.2430696
Aaha Ki Darun Dekhtey,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,6,8,7,0.9999626,7.9309344
Baro Bishad Bhara Rajani,Lata Mangeshkar|Chorus,bn,Bangla Film,Duet Playback,1,0,0,12,3,-1.2789414,5.4188156
E Kemon Ranga Jadu,Bhupen Hazarika,bn,Adhunik Bangla,Romantic Modern,0,0,13,4,7,-2.6517406,5.7742305
Tobu Bole Keno Sahasai,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,13,0,5,-3.0562353,5.800362
Krishnachura Shon Shon Shon,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0,8,4,0,-1.0339204,8.083033
Tui Ki Amar Putul Putul,Manna Dey,bn,Children's Music,Children's Song,4,0,0,12,3,-0.49854028,5.637052
Naam Amar Kishore Kumar Ganguly,Kishore Kumar,bn,Adhunik Bangla,Tribute Song,0,0,2,7,9,5.818923,9.652845
Jeno Kichhu Mone Korona,Akhil Bandhu Ghosh,bn,Adhunik Bangla,Romantic Modern,0,0,6,12,2,0.15571477,7.452496
Chokhe Naame Brishti,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,8,2,10,-1.5537766,6.7174697
Opare Thakbo Ami,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,11,12,2,4.3482714,8.836656
Khub Chena Chena Mukhkhani,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,8,4,7,-1.0332236,7.5700397
O Shyam Jakhan Takhan,Sujata Mukherjee|Aarti Mukherji,bn,Bangla Film,Duet Playback,1,0,0,0,12,-1.4196773,5.486565
Baba O Khoka,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,13,4,3,-2.5894759,5.821404
Amar Mon Manne Na,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,9,11,10,0.98719716,8.356706
Ekti Kunri Duti Pata,Bhupen Hazarika,bn,Adhunik Bangla,Romantic Modern,0,0,0,8,3,-0.4988579,5.8068266
Putul Putul,Antara Chwdhury,bn,Children's Music,Children's Song,4,0,2,2,2,5.682538,9.092142
Aamar Moner Kato Sukh Niye,Mukesh,bn,Bangla Film,Romantic Playback,1,0,12,2,2,9.224116,8.290208
Jaubansarosinire,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,3,0,5,-3.1842782,3.3742213
O Mor Moyna Go,Lata Mangeshkar,bn,Bangla Folk,Folk Song,2,0,9,4,10,0.1650237,8.909719
Nijhum Nishithe,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,13,0,12,-2.1100178,5.5762725
E Manihar Amay Nahi Saje,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,8,8,5,-1.6630517,6.367919
O Aamar Kandher Anchal,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,9,2,10,1.9586209,8.991295
Anek Jamano Byatha,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,6,9,0,1.3284762,7.8729334
Jodi Jante Chao Tumi,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0,3,8,3,-2.6256502,3.6373603
Saat Suron Ki Bandh Payeliya,Hemant Kumar|Shakti Thakur,bn,Bangla Film,Duet Playback,1,0,11,2,10,3.2442393,9.293753
Ekkhana Megh Bhese Elo Akashe,Bhupen Hazarika,bn,Adhunik Bangla,Romantic Modern,0,0,6,12,5,1.5659865,7.8595996
Chokhe Chokh Rekhe - Kishore Kumar,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0,3,8,3,-3.295858,3.426708
Ore Mon Ke Emon Daga,Amit Kumar|Bhupinder Singh|Mohammed Rafi|Aarti Mukherji,bn,Bangla Film,Duet Playback,1,0,6,7,9,0.9219363,6.5332646
E Mon Mor Jani Na Kotha Je Haralo,Nirmal Mishra,bn,Adhunik Bangla,Romantic Modern,0,0,3,0,12,-2.6163375,3.6395931
Amar Silpi Kishore Kumar,Kumar Sanu,bn,Bangla Film,Romantic Playback,1,0,11,7,9,3.9132075,8.460359
Ke Jay Re,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0,13,11,12,-2.4176435,5.1251936
Pretty in Pink,The Psychedelic Furs,en,rock,permanent wave,13,1,1,13,6,10.36005,7.8784704
Good Stuff,UGK,en,rap,southern hip hop,12,1,10,5,13,12.574051,4.9071126
Upgraded,Capital Kings,en,edm,progressive electro house,8,1,7,5,8,11.675186,5.7812724
Body Language (feat. Usher & Tinashe),Kid Ink,en,pop,post-teen pop,10,1,5,10,4,8.37196,8.844879
My Homeboy's Girlfriend,8Ball,en,rap,southern hip hop,12,1,4,6,6,13.46542,4.581963
The Needle And The Spoon,Lynyrd Skynyrd,en,rock,classic rock,13,1,12,1,1,9.383622,8.704814
Rain,Status Quo,en,rock,hard rock,13,1,12,13,1,9.357145,8.808213
X's We Share,Jodeci,en,r&b,new jack swing,11,1,7,6,11,11.112912,6.370383
Feelin' Alright,Joe Cocker,en,rock,album rock,13,1,7,1,11,11.942607,5.468592
Hurts 2B Human (feat. Khalid) - Midnight Kids Remix,P!nk,en,edm,big room,8,1,12,1,1,9.525954,9.059204
No One Knows Who We Are (Radio Edit) (feat. Lights),Kaskade,en,edm,progressive electro house,8,1,1,6,1,10.424952,8.453479
Stronger,Prismo,en,pop,electropop,10,1,2,3,4,6.5569596,9.305658
I Feel The Love,Tritonal,en,pop,dance pop,10,1,1,13,6,9.533874,8.008322
Futsal Shuffle 2020,Lil Uzi Vert,en,rap,hip hop,12,1,2,3,4,6.2514973,9.046253
Baby I'm Yours - Re-Recorded,Shai,en,r&b,new jack swing,11,1,1,13,6,10.886764,7.6307597
Come To Life,Neon Feather,en,pop,dance pop,10,1,2,13,2,6.465387,8.5724745
Homicide (feat. Eminem),Logic,en,rap,hip hop,12,1,7,5,8,11.645565,5.85353
The Ghost in You,The Psychedelic Furs,en,rock,permanent wave,13,1,12,1,11,9.26322,8.928395
Is It Love,3LAU,en,latin,tropical,9,1,12,13,1,8.85935,8.76853
On GOD (with YG & Tyga feat. A$AP Ferg & A$AP Rocky),Mustard,en,rap,hip hop,12,1,4,6,6,13.129817,4.899326
Glory Days,Bruce Springsteen,en,rock,hard rock,13,1,7,6,1,11.592661,5.039701
Jungle Boogie,Kool & The Gang,en,r&b,urban contemporary,11,1,10,6,6,12.60279,6.289781
Everything and More (feat. Aaron Cole),Hollyn,en,pop,dance pop,10,1,5,10,4,7.2456784,9.077079
In The Lap Of The Gods... Revisited - Remastered 2011,Queen,en,rock,album rock,13,1,2,13,11,5.9916964,8.769878
The Humpty Dance,Digital Underground,en,r&b,new jack swing,11,1,4,5,13,12.4266615,4.4452543
Shake Whatcha Mama Gave Ya',Poison Clan,en,rap,southern hip hop,12,1,2,3,13,5.8032684,9.131671
Have You Ever,Brandy,en,r&b,new jack swing,11,1,5,13,10,7.586917,8.508791
The Way I Are (Dance with Somebody) (feat. Lil Wayne) - Spotify Version,Bebe Rexha,en,r&b,hip pop,11,1,9,13,2,2.0936997,8.525102
Don't Check On Me (feat. Justin Bieber & Ink),Chris Brown,en,latin,latin pop,9,1,7,1,11,11.169961,5.7642026
Hail Mary,2Pac,en,rap,gangster rap,12,1,7,5,13,11.669421,5.5697074
Centerfold,The J. Geils Band,en,rock,classic rock,13,1,1,1,11,9.606566,7.6731944
Waverunners,dopeSMOOTHIES,en,rap,southern hip hop,12,1,2,5,13,5.3932323,8.803776
Hallucinogenics,Matt Maeson,en,pop,indie poptimism,10,1,5,13,6,7.6866393,8.531249
Somebody I'm Not,Martin Jensen,en,latin,tropical,9,1,7,1,1,11.062918,6.1240883
Fangirl,Lil Peep,en,r&b,urban contemporary,11,1,11,13,2,4.559303,8.700578
Lovers on the Sun (feat. Sam Martin),David Guetta,en,edm,electro house,8,1,5,3,4,7.50758,8.912639
Round and Round,Ratt,en,rock,classic rock,13,1,7,6,1,10.826265,5.644297
With You,Tony Terry,en,r&b,new jack swing,11,1,12,1,11,9.220556,8.76231
More Than You Know,Axwell /\ Ingrosso,en,pop,dance pop,10,1,5,3,4,7.2430634,9.149523
But God,Isaac Carree,en,r&b,neo soul,11,1,10,5,8,13.031036,6.0355144
OCD (with Dwn2earth),Logic,en,rap,hip hop,12,1,4,6,6,13.172547,4.790193
Cool,Jonas Brothers,en,r&b,hip pop,11,1,10,6,6,13.068706,5.8492465
Sunshine (feat. Lea) - Explicit Album Version,Lil' Flip,en,rap,hip hop,12,1,10,6,6,13.163658,5.248315
Cum on Feel the Noize,Quiet Riot,en,rock,classic rock,13,1,12,3,4,9.147925,9.560707
Electricity,Culture Code,en,edm,pop edm,8,1,12,13,1,9.298491,8.829152
Emotion,Mia Rodriguez,en,r&b,hip pop,11,1,2,13,2,7.0967274,9.424735
Take Me Home (feat. Bebe Rexha),Cash Cash,en,edm,progressive electro house,8,1,7,6,8,11.435781,5.9321923
Animals,Martin Garrix,en,edm,big room,8,1,5,6,2,7.341392,8.866797
I Need A Lover,John Mellencamp,en,rock,classic rock,13,1,1,13,1,10.730031,6.787099
Rock Wit U (Awww Baby),Ashanti,en,r&b,hip pop,11,1,10,10,4,12.911369,5.911466
Keep Yourself Alive - 2011 Mix,Queen,en,rock,album rock,13,1,5,13,1,8.009757,8.877481
The Next Time I Fall (with Amy Grant),Peter Cetera,en,rock,album rock,13,1,2,1,11,5.8133826,8.993445
Where The Hood At,DMX,en,rap,gangster rap,12,1,1,5,8,11.475119,6.0409746
Animal Instinct,The Cranberries,en,rock,album rock,13,1,5,3,4,7.562295,8.873021
I'm Ready,Tevin Campbell,en,r&b,new jack swing,11,1,4,6,6,13.199595,4.94168
The Boys Of Summer,Don Henley,en,rock,album rock,13,1,2,13,11,5.2740483,8.707669
Did You Ever Think - Remix - Radio Edit,R. Kelly,en,r&b,new jack swing,11,1,10,10,13,13.253383,5.2106256
Redbone,Childish Gambino,en,r&b,urban contemporary,11,1,5,13,11,7.747524,8.3390465
I Just Want You,Caleb Hawley,en,r&b,neo soul,11,1,5,10,11,8.319478,8.900587
Treat You Better,Shawn Mendes,en,pop,dance pop,10,1,7,10,4,11.608852,5.754751
Bia' Bia',Lil Jon,en,rap,southern hip hop,12,1,4,5,13,13.598113,4.186329
Clan In Da Front,Wu-Tang Clan,en,rap,southern hip hop,12,1,7,5,13,12.274849,4.8971076
When I See You Smile,Bad English,en,rock,album rock,13,1,2,1,11,6.6659513,9.277958
Alladat,Jarren Benton,en,r&b,urban contemporary,11,1,1,5,8,10.281178,7.1921597
Fireflies,Owl City,en,pop,post-teen pop,10,1,2,13,2,4.8336186,8.811212
Thinking About You (feat. Ayah Marar),Calvin Harris,en,pop,electropop,10,1,10,10,6,13.001994,6.131322
Be the One,Dua Lipa,en,pop,electropop,10,1,12,10,4,10.357827,8.556563
Not Gon' Cry,Mary J. Blige,en,r&b,new jack swing,11,1,5,10,11,8.06721,8.890786
Feel,Victors,en,pop,indie poptimism,10,1,7,6,6,11.066555,6.433443
"You're Gonna Go Far, Kid",The Offspring,en,pop,post-teen pop,10,1,1,13,6,11.286421,7.173353
Can't You See,The Marshall Tucker Band,en,rock,album rock,13,1,2,13,2,7.2186484,9.521992
Money For Nothing,Dire Straits,en,rock,classic rock,13,1,1,6,9,10.999656,8.234879
Used To,Drake,en,r&b,urban contemporary,11,1,1,10,4,10.663569,8.635863
Banquet,Bloc Party,en,rock,album rock,13,1,12,3,4,9.459689,8.802373
How We Party,R3HAB,en,edm,big room,8,1,7,6,1,10.937754,5.935011
Outta My System,Bow Wow,en,r&b,hip pop,11,1,4,6,13,13.292682,4.3958845
2 MUCH (feat. 24hrs) (feat. 24hrs),Flosstradamus,en,rap,trap,12,1,2,3,2,6.2302194,8.86854
Better Give U Up,FKJ,en,r&b,neo soul,11,1,1,10,4,10.632463,8.796905
With Me,dvsn,en,r&b,neo soul,11,1,1,6,9,10.939912,7.79441
Bang Bang,YNW Melly,en,rap,hip hop,12,1,5,5,8,7.8107834,9.225966
Renaissance (feat. Clairity),Steve James,en,edm,pop edm,8,1,5,1,11,7.591904,8.483946
2U (feat. Justin Bieber),David Guetta,en,pop,electropop,10,1,2,3,4,5.6108155,9.3441925
Stutter,Marianas Trench,en,pop,post-teen pop,10,1,10,10,4,12.615706,5.5092273
Boom Boom Pow,The Black Eyed Peas,en,pop,post-teen pop,10,1,1,6,1,11.210871,6.8785324
Make tha Trap Say Aye (feat. Gucci Mane),OJ Da Juiceman,en,rap,southern hip hop,12,1,5,5,8,8.9490185,8.348185
You Are the One Thing,Bright City,en,edm,progressive electro house,8,1,11,3,2,4.8292913,9.118817
High School Dropout,Neon Dreams,en,pop,electropop,10,1,4,5,8,13.456331,4.6104174
Make 'Em Say Ugh,Master P,en,rap,southern hip hop,12,1,4,5,13,12.445568,4.429924
Ruby,Kaiser Chiefs,en,rock,permanent wave,13,1,1,10,4,10.767667,8.729548
Paranoid,Black Sabbath,en,rock,classic rock,13,1,6,3,2,1.1643804,7.8419876
Easy Love,Sigala,en,latin,tropical,9,1,7,13,1,12.137263,4.9315705
Paradise,Demun Jones,en,rap,southern hip hop,12,1,7,1,1,11.788439,5.166547
The Flute Song,Russ,en,rap,hip hop,12,1,5,10,8,6.862522,8.724641
Radar Love,Golden Earring,en,rock,album rock,13,1,12,6,9,8.714931,9.584112
slow motion,flor,en,pop,indie poptimism,10,1,10,6,6,12.682665,6.4527693
Thief,Ookay,en,rap,trap,12,1,12,13,2,8.825579,8.833551
Society,Eddie Vedder,en,rock,permanent wave,13,1,0,9,12,-0.26146874,7.2713394
Starstruck,Christopher Wilde,en,pop,post-teen pop,10,1,5,13,2,7.755643,8.295738
I Don't Fuck With You,Big Sean,en,pop,post-teen pop,10,1,10,6,6,12.860735,5.9885244
Still Frame,Trapt,en,rock,hard rock,13,1,4,5,8,12.508989,4.448267
Issues/Hold On,Teyana Taylor,en,r&b,urban contemporary,11,1,1,1,11,10.177778,8.734837
Stellar,Jamila Woods,en,r&b,neo soul,11,1,2,1,11,5.158771,8.71144
Sloppy Seconds,Watsky,en,pop,indie poptimism,10,1,1,10,4,11.284395,7.4955635
Party Rock Anthem,LMFAO,en,pop,post-teen pop,10,1,5,10,4,8.795301,8.225615
Right Down the Line,Gerry Rafferty,en,rock,album rock,13,1,1,1,11,9.354659,7.856006
Ether,Nas,en,rap,gangster rap,12,1,4,5,13,13.58686,4.1758037
Bootie in Your Face - No Rock Drop,Deorro,en,edm,electro house,8,1,10,6,6,12.302351,6.6143813
Calm Down,G-Eazy,en,rap,hip hop,12,1,1,5,13,10.23286,7.2904716
Cheerleader (Felix Jaehn Remix) - Radio Edit,OMI,en,latin,latin hip hop,9,1,1,1,6,10.85027,7.7427835
Heartbeat,Claptone,en,pop,electropop,10,1,1,10,4,10.8765745,8.413333
Kali Yuga,Ghostemane,en,rap,gangster rap,12,1,12,13,1,9.54746,8.521905
First Time - Gryffin Remix,Kygo,en,edm,electro house,8,1,1,6,6,10.504174,7.2091346
Finally // beautiful stranger,Halsey,en,pop,dance pop,10,1,11,3,4,3.8996408,8.674254
My Body,Young the Giant,en,pop,indie poptimism,10,1,1,13,1,9.589884,8.073225
Save It For A Rainy Day,Stephen Bishop,en,rock,classic rock,13,1,12,1,11,8.155436,9.051083
Do You Think About Me,50 Cent,en,rap,gangster rap,12,1,7,5,13,12.243491,4.6613574
One Woman Man,Dave Hollister,en,r&b,new jack swing,11,1,7,6,1,11.184692,5.3706045
No More,Disturbed,en,rock,hard rock,13,1,7,6,1,12.20178,4.813999
Lullaby - Calvo Remix,Sigala,en,edm,electro house,8,1,5,3,4,7.380235,9.139636
You Make My Dreams - Remastered,Daryl Hall & John Oates,en,pop,post-teen pop,10,1,5,13,2,7.890202,8.40311
United We Are,Hardwell,en,edm,big room,8,1,1,10,4,10.90693,8.204268
Love Will Tear Us Apart - 2010 Remaster,Joy Division,en,pop,electropop,10,1,1,13,6,10.065064,7.656099
Again,Wun Two,en,latin,tropical,9,1,7,1,11,11.165563,5.844101
Perfect Strangers,Jonas Blue,en,pop,indie poptimism,10,1,10,13,6,12.450502,6.643583
Applause,Lady Gaga,en,pop,post-teen pop,10,1,12,3,4,10.194403,8.124659
Turnin' Me Up,BJ The Chicago Kid,en,r&b,neo soul,11,1,4,6,6,13.461144,4.347696
